Model,ahiq,ckdn,cw_ssim,dists,fsim,gmsd,lpips,lpips+,lpips-vgg,lpips-vgg+,mad,ms_ssim,msswd,nlpd,pieapp,psnr,psnry,ssim,ssimc,stlpips,stlpips-vgg,topiq_fr,topiq_fr-pipal,vif,vsi,wadiqam_fr,arniqa,arniqa-csiq,arniqa-clive,arniqa-flive,arniqa-kadid,arniqa-live,arniqa-spaq,arniqa-tid,brisque,brisque_matlab,clipiqa,clipiqa+,clipiqa+_rn50_512,cnniqa,dbcnn,entropy,fid,hyperiqa,ilniqe,liqe,maniqa,maniqa-kadid,maniqa-pipal,musiq,musiq-ava,musiq-paq2piq,musiq-spaq,nima,nima-koniq,nima-spaq,nima-vgg16-ava,niqe,niqe_matlab,nrqm,paq2piq,pi,piqe,qalign_4bit,qalign_8bit,topiq_nr,topiq_nr-flive,topiq_nr-spaq,tres,tres-flive,unique,uranker,wadiqam_nr,laion_aes,topiq_iaa,topiq_iaa_res50
001_classicalSR_DF2K_s64w8_SwinIR-M_x4,0.46196548551321,0.670152468085289,0.9994594298617,0.195404116511345,0.944231353402138,0.098046266883612,0.270328787826002,0.267987264171243,0.301065025627613,0.305002137646079,118.950362426334,0.949895467701127,0.055303726643324,0.295794389992952,1.39072648465633,22.8346116638184,23.0010023880005,0.725125361723947,0.724886193739535,0.228722594790161,0.35331910289824,0.580613479614258,0.659560853838921,0.32994236946106,0.980573279466932,-0.065344855538569,0.716624730825424,0.865248143672943,0.680941137969494,0.738885707855225,0.702428368926048,0.738788703083992,0.732568137049675,0.539750129282475,40.2018334960937,40.3662457275391,0.394690544307232,0.592144399881363,0.410849324315786,0.613275273740292,0.552475720643997,7.56666317462921,57.3674202377535,0.628932836651802,36.098807323949,3.83236451625824,0.441045852303505,0.483245577812195,0.644757062196732,67.2244248962402,5.03662421703339,73.2043245697022,70.8288800811768,4.78719882488251,0.621956207752228,70.8036526107788,4.9696869134903,5.12583270816178,4.84059340351846,6.15886702060699,77.0603209686279,4.44245458871714,74.4058784103394,3.17703125,3.2135546875,0.588082544505596,0.736514303088188,0.692116987705231,81.0801947021484,91.0099293518067,1.46800216019154,2.1750428712368,-0.227071277843788,5.34777755737305,4.83526558637619,5.05334111213684
001_classicalSR_DIV2K_s48w8_SwinIR-M_x4,0.452517436146736,0.665254502892494,0.999566939785034,0.195786656141281,0.942181389927864,0.100626430362463,0.278955670297146,0.276773550286889,0.305252927541733,0.309373486042023,120.267001774793,0.948093157262682,0.063045168463141,0.299806279540062,1.4521855121851,22.6780738639832,22.8498822402954,0.717239625060847,0.716662981840997,0.236998742856085,0.363390986546874,0.569755662381649,0.652384717464447,0.323168119192123,0.979806421628791,-0.067131374031305,0.708959367871284,0.855436137914658,0.67254080414772,0.735249356031418,0.690846262574196,0.733368188738823,0.72096629679203,0.530912728905678,39.6653393554688,40.3789288711548,0.402534791231155,0.59380524456501,0.411160871386528,0.608126317858696,0.546337181031704,7.56747435092926,58.1156558558854,0.611025158166885,35.6959975786197,3.76489126205444,0.421582351028919,0.473595580756664,0.628839338719845,66.0792079544067,4.97948401927948,72.979001083374,69.9571108627319,4.72665679693222,0.609449406862259,69.4927098846436,4.90574207305908,5.09150285400864,4.78933109109371,6.0431839132309,76.747281036377,4.49901157995055,73.8499784088135,3.117958984375,3.15794921875,0.566615868806839,0.73165384888649,0.673213035166264,79.2119644165039,90.7260862731934,1.38482677429914,2.18193907022476,-0.254107689703815,5.32886400222778,4.78422515392303,4.99634854316711
003_ATD_SRx4_finetune,0.464046852886677,0.665907129645348,0.999542165981617,0.190668476819992,0.947816687226295,0.093756792619824,0.263519017249346,0.26093861375004,0.292269597500563,0.294962934404612,116.448120082929,0.952457499831638,0.054399903770536,0.287509093731642,1.37681213200092,23.0678232955933,23.2345290565491,0.734619801026154,0.734368495650648,0.222820791341364,0.346460697054863,0.586220272183418,0.661105849146843,0.341860878318548,0.981833453099184,-0.061340842121281,0.713415039777756,0.859515985250473,0.680951876044273,0.73703765809536,0.694828218221664,0.737132132649422,0.729654119610786,0.533822317421436,39.9593090820312,40.1846457099915,0.398137029707432,0.592187025249004,0.416676779538393,0.60754648566246,0.55607311040163,7.5640137720108,54.5480098431615,0.629785048961639,35.995541836085,3.83190369606018,0.440909614264965,0.475662623047829,0.642730327248573,66.8397535705566,5.04523359298706,73.1088668060303,70.3271216201782,4.77147773742676,0.6170250248909,69.9554479598999,4.95159015655518,5.13292645906085,4.84462054241281,6.18627140283585,76.9740034484863,4.42626236026233,73.7705099105835,3.18271484375,3.21947265625,0.589721544682979,0.73634942650795,0.694016471505165,81.4593587493897,90.9520515441895,1.45822398871183,2.16557738780975,-0.216009714779211,5.34223537921906,4.84956345558167,5.06286641597748
4xDRCT-XL,0.464666447043419,0.664208924174309,0.999386132363928,0.193924663662911,0.945090144276619,0.096170772500336,0.256656504273415,0.253750912062824,0.29983740106225,0.30403049685061,119.667514736061,0.951214584966908,0.056255861707032,0.293681564182043,1.35704621881247,22.8905521583557,23.0526103782654,0.72988833430015,0.729272905856486,0.220591759029776,0.338332316875458,0.586909971535206,0.663697163462639,0.334212843626738,0.980989266021221,-0.063743951342767,0.726167632341385,0.881127257347107,0.703368120193481,0.740948103070259,0.693744463324547,0.757312948703766,0.752646535634995,0.523714326322079,39.1907690429687,41.1035661125183,0.42850379601121,0.607269495129585,0.439451032280922,0.669231789112091,0.59058622866869,7.5767829656601,56.6580698706828,0.666794729828835,35.3567638274118,3.93852421045303,0.490084842741489,0.50093911588192,0.650401861071587,68.8575619506836,5.19812963962555,73.4545754241943,72.0798815917969,4.85137198925018,0.626262515485287,71.2010219192505,4.99995799541473,5.02086101545314,4.75835196179414,6.37916770935059,77.4644088745117,4.34364705963003,73.846912612915,3.317841796875,3.3600390625,0.647654427289963,0.743846614360809,0.729491238594055,87.9215535354614,91.6551118469238,1.60156023979187,2.14743504405022,-0.080510014690226,5.35099112987518,5.00815389871597,5.19159384250641
4x_nomos2_mosr,0.457020620703697,0.672623295783997,0.999394265439504,0.193953095078468,0.939823791980743,0.103577299378812,0.262009711042047,0.260154439881444,0.308951093554497,0.313315707743168,119.741824199235,0.946209655298598,0.058481854200363,0.314615835696459,1.37042013049126,22.3186837005615,22.4923303031921,0.712110904973796,0.710896948703439,0.230755118876696,0.347510317191482,0.56854838848114,0.657599598765373,0.310145237445831,0.978547175548827,-0.065741348005831,0.69858517229557,0.854559808373451,0.674283799529076,0.733199731707573,0.691095153093338,0.731011576652527,0.711655232608318,0.520883234143257,39.5181005859375,39.802015209198,0.412694608867168,0.598811862766743,0.413457985520363,0.624901918172836,0.538246633410454,7.59692656993866,58.5347361302725,0.607580269575119,35.5748836686431,3.67442152738571,0.420115769207478,0.478359793424606,0.614132336974144,66.0108723449707,4.95314503669739,73.0781864929199,70.1994731521607,4.67948021888733,0.607991215884686,70.4697091293335,4.86967689275742,4.99358487014868,4.76688827618871,5.9432221364975,76.8866262054443,4.48259691594812,71.3039030456543,3.057841796875,3.1267578125,0.560251389145851,0.73294706761837,0.677197183072567,79.0301923370361,90.8089167022705,1.38727966666222,2.30638069182634,-0.22995346013864,5.35225299835205,4.75713853120804,5.00084457397461
4x_nomos2_mosr_t,0.427035379111767,0.664680206775665,0.99935152447468,0.207064214944839,0.9326602602005,0.110557157695293,0.297961991503835,0.29635187715292,0.330675966888666,0.337337967902422,124.870789612438,0.941159736138901,0.07594080824405,0.325995519757271,1.58921705842018,22.0086367034912,22.1974135780334,0.691452165087664,0.689952352944586,0.263641933500767,0.382686709016561,0.531719893217087,0.636074495911598,0.289591967761517,0.976190774416896,-0.072055437136442,0.669549171328545,0.811654043197632,0.629005446434021,0.725848053097725,0.636079145073891,0.680744627118111,0.677901121377945,0.490782555341721,40.7602124023437,41.0518912506104,0.365140968561172,0.562100964784622,0.346536730378866,0.553083160221577,0.460199528038502,7.59923308372498,64.141873699441,0.492490186393261,36.7349149449752,3.301847833395,0.349228748977184,0.441265214085579,0.57149511039257,61.3130292510986,4.63565819740295,72.3222805786133,66.8049208068848,4.46664068460465,0.572387106716633,66.9502600479126,4.70172348737717,5.37847884430315,4.99642633075003,5.34685019493103,75.9498314666748,4.92979913362409,71.515491142273,2.68521484375,2.79134765625,0.456831817030907,0.713807050585747,0.599052747189999,67.0459296035767,89.5909097290039,1.0308204613626,2.33018144086003,-0.441306194029749,5.30662531852722,4.4840306520462,4.76902011871338
DAT_2_x4,0.462311491966248,0.667363272309303,0.999506815935884,0.19335745036602,0.946715687513351,0.094902874715626,0.270557243414223,0.268243692442775,0.295893981903791,0.299312932342291,117.405626572096,0.951509395654566,0.057548808772117,0.290006821602583,1.4099444937706,22.9796256637573,23.1505149459839,0.730477977348855,0.730086838691181,0.228845346048474,0.35573376826942,0.581039859950542,0.657859354019165,0.336676998436451,0.98140895932006,-0.062831011306262,0.711439573764801,0.853324058055878,0.675663432776928,0.737053355574608,0.690469023287296,0.731426758170128,0.723193770945072,0.532876171767712,40.5565551757813,40.3740705299377,0.393736964017153,0.594110902845859,0.413734046667814,0.600743925273418,0.547957410812378,7.56380503177643,56.1101224381154,0.622284021675587,36.4437643093616,3.79064795970917,0.434392926096916,0.474797983169556,0.639890689253807,66.7624632644653,5.0192626953125,73.0704685974121,70.2209552001953,4.75153703451157,0.614639389514923,69.8167250442505,4.94070780038834,5.19978367303714,4.87770920654621,6.05680379867554,76.8955136108398,4.55325025121125,74.4490398025513,3.145302734375,3.176953125,0.578265179097652,0.734616755843162,0.686271624863148,80.0119689178467,90.848786315918,1.42657178252935,2.1755450874567,-0.250506694762444,5.34128273487091,4.81003909826279,5.03390205860138
DAT_light_x4,0.424354875683784,0.660903338193893,0.999567559532793,0.205089694261551,0.938629390597343,0.104544608779252,0.312110312357545,0.310108710899949,0.318720089197159,0.323929295241833,123.539524333058,0.944803002649753,0.073986507710069,0.305919458419084,1.64522307038307,22.4509611320496,22.653706035614,0.702372194243444,0.700751086586196,0.26403249360621,0.399128025770187,0.539898936152458,0.633800909519195,0.309798247516155,0.97824932334366,-0.071314944056794,0.67947617650032,0.78856204688549,0.608588167130947,0.731393269300461,0.631967994570732,0.663306249380112,0.669859984815121,0.490442114770412,41.7452905273438,40.4229807662964,0.369113851487637,0.573471762239933,0.362316732406616,0.491838557124138,0.465563339591026,7.5669061088562,63.8679676941103,0.50497083812952,36.2073302969835,3.37816539525986,0.352857842594385,0.45193663418293,0.598414815664291,61.7996194076538,4.69046187400818,72.2826651000977,67.0255339813232,4.54362990617752,0.579098772704601,66.2151895523071,4.79892389535904,5.50462223166451,5.01696025442209,5.25816306352615,75.6706627655029,5.07925625541484,72.5663299560547,2.774248046875,2.84771484375,0.461197293400764,0.712364799976349,0.590437279939651,65.70410987854,89.316205291748,1.04110799908638,2.18998576104641,-0.501644333456643,5.2750831079483,4.50761021137238,4.76198229312897
DAT_S_x4,0.460503113567829,0.666439847350121,0.999512872669601,0.194426134228706,0.945711452364922,0.096177535094321,0.272302720174193,0.269982283264399,0.298227728754282,0.301823608651757,118.25046394423,0.950767829243251,0.058498419355601,0.292099810242653,1.41572650432587,22.9207471656799,23.0927654266357,0.727689809650717,0.727268432184737,0.23126742221415,0.357484231740236,0.578870157301426,0.65693391084671,0.333519675135612,0.981024049565443,-0.063721802332439,0.711863096952438,0.852647585272789,0.675362676382065,0.736799763441086,0.688961428701878,0.729111357927322,0.725208290219307,0.531542510986328,40.5930151367187,40.5185567855835,0.393384121209383,0.594149678349495,0.413263064622879,0.599654630422592,0.548922895789146,7.56419189453125,56.5707754790565,0.621647023260593,36.6813501829368,3.79237326383591,0.435128671526909,0.475423054099083,0.639564924240112,66.6902192687988,5.01488028526306,73.0428695678711,70.2959608840942,4.75078700304031,0.614057401120663,69.7464736175537,4.94379539012909,5.20129324445365,4.8799108499126,6.05148261070251,76.9021802520752,4.54118771418715,74.6763557052612,3.1428515625,3.1770703125,0.577683897018433,0.734330262541771,0.685209611356258,79.8018993377686,90.8516385650635,1.41980917572975,2.17574312984943,-0.252339373637224,5.34412854671478,4.81145980119705,5.03270036220551
DAT_x4,0.464644210338592,0.667129874229431,0.999520264443118,0.192049736976624,0.946898508667946,0.094695027284324,0.267521920204163,0.265046862848103,0.294158876538277,0.297257297486067,117.310211153117,0.951689808145924,0.057877412643284,0.289345382601023,1.39147925376892,23.0094126319885,23.1788842582703,0.731677417525474,0.731323239140372,0.226762484628707,0.352458042129874,0.584731630384922,0.660317358374596,0.337969445288181,0.98146321350501,-0.062468836819753,0.714632520675659,0.857521013021469,0.679134575724602,0.737845452427864,0.694008942842484,0.733669376373291,0.729402715265751,0.531849541664124,40.5455200195313,40.4832845306397,0.396119814962149,0.597769114077091,0.418216724991798,0.608019818663597,0.552665551304817,7.56399947166443,55.5114759082593,0.629752769768238,36.4668344984591,3.82963351964951,0.441588108241558,0.479288881123066,0.644509144425392,67.0251683807373,5.04283699512482,73.1319976043701,70.3215166473389,4.77068988323212,0.618581033349037,70.1337475967407,4.95609954357147,5.1312744075525,4.83855551319433,6.13335318088532,77.0179679870605,4.47356799737102,74.4272021484375,3.186884765625,3.2173828125,0.588596773147583,0.735955770611763,0.692756929993629,80.8565631866455,90.9549034881592,1.44764280021191,2.17039440572262,-0.227045682454482,5.34720513820648,4.84011377573013,5.05621773719788
