1.png,4.451732635498047
10.png,4.274030685424805
100.png,4.19119930267334
11.png,4.8348236083984375
12.png,3.5494847297668457
13.png,5.25329065322876
14.png,4.10616397857666
15.png,4.254657745361328
16.png,5.307121276855469
17.png,4.483010292053223
18.png,3.7490038871765137
19.png,3.389497756958008
2.png,3.565011978149414
20.png,4.938469409942627
21.png,4.076631546020508
22.png,4.798251152038574
23.png,4.584991455078125
24.png,4.260977268218994
25.png,4.960155010223389
26.png,5.020241737365723
27.png,4.475886344909668
28.png,4.515588760375977
29.png,4.539637565612793
3.png,4.5786333084106445
30.png,4.3506951332092285
31.png,3.998568296432495
32.png,4.584700584411621
33.png,3.9420902729034424
34.png,4.427703857421875
35.png,4.222505569458008
36.png,4.238461494445801
37.png,4.367488861083984
38.png,4.42486572265625
39.png,4.537559509277344
4.png,4.377252101898193
40.png,4.631970405578613
41.png,5.128151893615723
42.png,3.9226441383361816
43.png,4.199310302734375
44.png,5.0997819900512695
45.png,4.8636980056762695
46.png,4.413054466247559
47.png,4.412435531616211
48.png,4.804288387298584
49.png,4.594062805175781
5.png,4.53336238861084
50.png,4.360543727874756
51.png,4.7472991943359375
52.png,3.726560354232788
53.png,5.051027774810791
54.png,4.757607460021973
55.png,3.958590507507324
56.png,4.342735290527344
57.png,4.4572296142578125
58.png,4.5571184158325195
59.png,4.401625633239746
6.png,4.427188873291016
60.png,4.215514183044434
61.png,4.170621395111084
62.png,4.345788478851318
63.png,4.278547286987305
64.png,4.854823589324951
65.png,4.220086574554443
66.png,4.546063423156738
67.png,4.201144695281982
68.png,4.422346115112305
69.png,3.756037473678589
7.png,4.013477325439453
70.png,4.36719274520874
71.png,4.285274505615234
72.png,4.830543041229248
73.png,4.621755599975586
74.png,3.766388416290283
75.png,4.280796051025391
76.png,4.1163177490234375
77.png,4.0828752517700195
78.png,4.31035041809082
79.png,4.4417595863342285
8.png,4.581483364105225
80.png,4.681026458740234
81.png,4.704970836639404
82.png,4.334219932556152
83.png,4.359467506408691
84.png,5.399122714996338
85.png,4.888430118560791
86.png,5.365656852722168
87.png,4.799134731292725
88.png,4.38700532913208
89.png,5.454584121704102
9.png,5.342188835144043
90.png,4.520525932312012
91.png,4.672789573669434
92.png,4.773686408996582
93.png,4.456794738769531
94.png,4.703737735748291
95.png,4.881633281707764
96.png,4.64810037612915
97.png,4.031498908996582
98.png,5.239097595214844
99.png,4.375722885131836
